250 1273
244 246 0.11712
239 240 0.10616
238 245 0.06142
235 238 0.07048
233 240 0.07634
232 248 0.10223
231 248 0.10699
229 249 0.10098
228 241 0.01473
226 231 0.07638
223 242 0.10184
223 249 0.10898
222 225 0.09842
220 247 0.10309
219 221 0.06535
218 224 0.05993
218 227 0.09192
217 232 0.09613
216 232 0.08738
214 219 0.04104
214 221 0.10444
213 235 0.09305
213 238 0.10707
212 214 0.09024
212 219 0.08099
212 221 0.08320
212 244 0.04321
211 222 0.06192
211 225 0.10649
210 212 0.05813
210 214 0.07099
210 219 0.03728
210 221 0.03659
210 244 0.10062
209 211 0.01269
209 222 0.07357
209 225 0.11652
208 226 0.04662
208 231 0.08821
207 210 0.03158
207 212 0.05667
207 214 0.10119
207 219 0.06878
207 221 0.02902
207 244 0.09218
206 209 0.11467
205 207 0.10606
205 210 0.07932
205 214 0.07345
205 219 0.05157
205 221 0.08879
204 222 0.09626
204 225 0.05003
204 231 0.11432
203 249 0.04148
202 204 0.04207
202 209 0.10956
202 211 0.09692
202 222 0.05440
202 225 0.06056
201 216 0.11363
201 217 0.11118
201 232 0.03557
201 248 0.06668
200 203 0.05651
200 223 0.09984
200 249 0.06335
199 237 0.06767
198 223 0.09036
198 242 0.03037
197 230 0.09937
196 205 0.05718
196 214 0.08233
196 219 0.08903
195 238 0.11390
195 245 0.09286
194 220 0.11551
193 243 0.09306
192 243 0.07897
191 202 0.06216
191 204 0.07061
191 222 0.09234
191 225 0.11446
191 231 0.11935
190 220 0.04330
190 247 0.06680
189 200 0.11303
189 203 0.05779
189 220 0.09403
189 249 0.08557
188 230 0.05191
188 233 0.08575
188 240 0.09560
187 208 0.06557
187 226 0.03660
187 231 0.04215
187 248 0.11716
186 189 0.05775
186 203 0.10305
186 249 0.11195
185 201 0.06956
185 232 0.10259
185 248 0.02896
184 188 0.07566
184 197 0.05351
184 230 0.04691
183 215 0.03017
182 198 0.07870
182 223 0.08452
182 242 0.10811
181 184 0.08764
181 188 0.10778
181 196 0.11674
181 230 0.05963
180 213 0.03355
179 193 0.10256
179 212 0.09146
179 244 0.07050
178 236 0.02867
177 186 0.03537
177 189 0.03512
177 203 0.06820
177 249 0.07806
176 191 0.02089
176 202 0.04299
176 204 0.06123
176 222 0.07243
176 225 0.09939
175 246 0.03569
174 179 0.09292
174 192 0.07813
174 243 0.07415
172 180 0.08119
172 197 0.09121
172 213 0.05932
172 235 0.07388
171 172 0.06889
171 180 0.10106
171 213 0.06758
171 235 0.03106
171 238 0.05664
171 245 0.11526
170 182 0.06422
170 198 0.10237
170 223 0.03653
170 229 0.10924
170 249 0.11264
169 177 0.08571
169 186 0.05624
169 189 0.08899
169 190 0.09320
169 220 0.10104
168 187 0.04080
168 204 0.11515
168 208 0.08885
168 226 0.07555
168 231 0.00268
168 248 0.10481
167 224 0.07521
166 236 0.09479
165 171 0.11685
165 172 0.09828
165 180 0.01756
165 191 0.10673
165 213 0.05003
164 190 0.07043
164 194 0.07229
164 220 0.05001
164 247 0.09969
163 202 0.09825
163 209 0.02235
163 211 0.01708
163 222 0.05489
163 225 0.11682
162 192 0.09472
161 169 0.10571
161 177 0.07299
161 186 0.06124
161 189 0.10748
161 229 0.10509
161 249 0.11843
160 168 0.06839
160 176 0.06571
160 187 0.10794
160 191 0.05410
160 202 0.08639
160 204 0.06352
160 225 0.11314
160 231 0.06647
159 234 0.05490
159 239 0.10493
158 170 0.05722
158 200 0.07196
158 203 0.09121
158 223 0.05291
158 229 0.09925
158 249 0.05734
157 181 0.05473
157 184 0.04716
157 188 0.10501
157 197 0.07152
157 230 0.05597
156 196 0.08377
156 205 0.05088
156 207 0.07567
156 210 0.04409
156 212 0.08418
156 214 0.03435
156 219 0.00745
156 221 0.07280
155 165 0.05001
155 171 0.07487
155 172 0.04996
155 180 0.03246
155 197 0.11679
155 213 0.01559
155 235 0.09681
155 238 0.11940
154 171 0.08024
154 195 0.11016
154 235 0.09296
154 238 0.02365
154 245 0.04011
153 228 0.05583
153 241 0.04247
152 179 0.10233
152 207 0.08799
152 210 0.10636
152 212 0.05852
152 221 0.11655
152 244 0.03365
152 246 0.09510
151 168 0.09264
151 187 0.06861
151 208 0.00391
151 226 0.04792
151 231 0.09202
150 164 0.09115
150 169 0.06638
150 177 0.08428
150 186 0.08087
150 189 0.06046
150 190 0.06182
150 203 0.11351
150 220 0.04158
149 163 0.07447
149 206 0.10265
149 209 0.05363
149 211 0.05830
149 222 0.11405
149 225 0.10995
148 157 0.01712
148 181 0.05620
148 184 0.03398
148 188 0.08809
148 197 0.07085
148 230 0.04043
147 162 0.09416
147 166 0.11877
146 218 0.06252
146 224 0.11387
146 227 0.04560
145 146 0.10595
144 168 0.09650
144 185 0.03018
144 187 0.11380
144 201 0.08140
144 204 0.11540
144 231 0.09846
144 232 0.11686
144 248 0.01527
143 152 0.07831
143 175 0.10421
143 179 0.08905
143 193 0.06865
143 212 0.11875
143 244 0.07554
143 246 0.07590
142 154 0.11701
142 155 0.04818
142 165 0.04797
142 171 0.08119
142 172 0.09299
142 180 0.04124
142 195 0.08901
142 213 0.03433
142 235 0.11123
142 238 0.10237
140 147 0.04712
140 162 0.10969
139 156 0.06665
139 196 0.04593
139 205 0.01814
139 210 0.09743
139 214 0.08428
139 219 0.06833
139 221 0.10596
138 151 0.11903
138 188 0.10136
138 226 0.11064
138 233 0.09598
138 239 0.11352
138 240 0.02076
137 145 0.11708
137 146 0.03524
137 183 0.11008
137 215 0.11222
137 218 0.04325
137 224 0.10278
137 227 0.07930
136 159 0.02310
136 234 0.03185
135 141 0.06693
135 181 0.07362
135 230 0.11174
134 137 0.10296
134 145 0.10314
134 146 0.06821
134 227 0.03986
133 166 0.06778
132 154 0.08146
132 171 0.07460
132 235 0.05508
132 238 0.06935
131 143 0.05854
131 179 0.09728
131 193 0.01012
131 243 0.10112
130 194 0.05825
130 234 0.11697
129 133 0.07141
129 147 0.08531
129 166 0.03392
129 178 0.11909
129 236 0.09707
128 136 0.11358
128 159 0.09153
128 173 0.11948
128 239 0.01726
126 183 0.08912
126 215 0.05899
125 148 0.04208
125 157 0.02917
125 172 0.11220
125 181 0.08041
125 184 0.05816
125 197 0.05633
125 230 0.08248
124 142 0.06118
124 155 0.01487
