1000 8433
987 990 0.06469
984 986 0.03770
983 988 0.06158
981 997 0.05808
979 993 0.05028
977 992 0.05575
975 978 0.02590
974 998 0.06373
973 984 0.06512
973 986 0.07181
973 995 0.06798
971 985 0.04048
969 970 0.06807
966 968 0.06213
966 995 0.04364
963 968 0.06970
961 967 0.07440
961 991 0.03901
956 999 0.06462
952 994 0.02873
948 987 0.01489
947 959 0.07469
947 974 0.06580
947 998 0.03188
946 990 0.01906
944 947 0.03825
944 974 0.02764
944 998 0.04288
943 945 0.02586
942 979 0.01027
942 993 0.04583
938 961 0.07417
938 991 0.03525
936 965 0.04994
935 943 0.01266
935 945 0.03619
933 944 0.02367
933 947 0.02216
933 974 0.04848
933 998 0.02065
932 934 0.02981
931 945 0.07309
931 958 0.06016
930 996 0.06125
929 949 0.06134
929 982 0.03239
928 988 0.06494
927 946 0.06891
926 994 0.06692
925 960 0.01951
924 975 0.05714
924 978 0.05258
923 946 0.04998
923 969 0.06000
923 987 0.06068
923 990 0.03152
922 981 0.02690
922 997 0.03288
921 989 0.02107
919 929 0.06636
919 949 0.05455
919 982 0.06103
918 927 0.03727
918 952 0.05446
918 994 0.03860
916 950 0.05051
914 928 0.05594
914 983 0.05423
914 988 0.02410
913 933 0.07346
913 944 0.05709
913 947 0.07063
913 974 0.06458
912 931 0.03287
912 945 0.06818
912 958 0.07395
912 997 0.05270
911 925 0.02444
911 960 0.02365
910 976 0.01405
909 966 0.02532
909 968 0.04773
909 995 0.04005
908 988 0.06062
907 934 0.07120
907 981 0.05675
906 919 0.05184
906 929 0.03396
906 949 0.02738
906 982 0.05651
905 939 0.07030
904 923 0.06418
904 946 0.05884
904 948 0.03987
904 987 0.03137
904 990 0.05213
902 928 0.05429
901 919 0.05007
901 954 0.06697
900 940 0.07163
899 909 0.03701
899 966 0.02545
899 984 0.06417
899 995 0.02462
898 917 0.05110
898 964 0.06846
897 913 0.03854
897 933 0.03840
897 944 0.03211
897 947 0.03209
897 974 0.05477
897 998 0.05756
896 983 0.05029
895 897 0.04983
895 913 0.04510
895 947 0.07137
894 965 0.04964
892 977 0.03879
891 952 0.06905
890 907 0.03488
890 959 0.05917
889 930 0.05244
889 996 0.05049
888 890 0.06937
888 959 0.02389
887 892 0.04066
887 898 0.04044
887 917 0.05621
887 964 0.05971
886 894 0.02442
886 965 0.06260
885 936 0.07391
885 937 0.07184
884 911 0.04981
884 925 0.02827
884 960 0.04662
883 891 0.07287
883 911 0.02857
883 925 0.05264
883 960 0.04495
882 895 0.03114
882 897 0.04636
882 913 0.01806
882 944 0.07128
881 923 0.03720
881 969 0.02309
881 987 0.06648
881 990 0.06809
879 941 0.04723
878 920 0.04201
878 922 0.05067
878 981 0.04148
878 997 0.06394
877 882 0.03345
877 895 0.01697
877 897 0.06480
877 913 0.05089
876 900 0.06325
876 940 0.06158
875 956 0.04668
875 964 0.04964
874 886 0.03409
874 894 0.04498
874 905 0.05611
873 982 0.05854
872 970 0.04155
871 962 0.07477
870 906 0.05748
870 929 0.03841
870 982 0.06619
869 909 0.05309
869 921 0.06900
869 968 0.07101
869 995 0.05908
868 940 0.03140
867 985 0.06177
866 924 0.04869
866 975 0.02406
866 978 0.00436
865 916 0.03303
865 950 0.04448
864 905 0.07312
863 876 0.06491
862 967 0.02900
861 974 0.07324
860 890 0.07415
860 907 0.06759
860 932 0.03411
860 934 0.00536
859 871 0.03890
859 891 0.06291
858 892 0.04445
858 977 0.02819
858 992 0.05661
857 908 0.06021
856 875 0.05754
856 953 0.06917
856 956 0.06463
856 964 0.06773
855 883 0.07222
855 884 0.06073
855 911 0.05900
855 925 0.06299
855 926 0.04750
854 889 0.07398
854 924 0.07065
853 877 0.05421
853 895 0.07042
853 920 0.04100
852 901 0.02406
852 919 0.07154
852 954 0.05513
851 910 0.03506
851 921 0.07023
851 976 0.04478
851 989 0.05090
850 852 0.04171
850 901 0.04185
850 919 0.05604
850 949 0.06845
850 954 0.03218
849 951 0.06972
848 893 0.07471
846 923 0.06974
846 946 0.05840
846 990 0.06177
845 861 0.06191
845 915 0.01930
844 866 0.03424
844 924 0.04632
844 975 0.05768
844 978 0.03427
843 863 0.04521
843 876 0.02672
841 930 0.04375
841 996 0.04736
840 855 0.04726
840 883 0.02672
840 884 0.07080
840 891 0.07247
840 911 0.03118
840 925 0.05243
840 926 0.06027
840 960 0.05467
839 899 0.06224
839 973 0.05214
839 984 0.01299
839 986 0.03806
839 995 0.07140
838 880 0.05879
838 903 0.05996
837 889 0.07130
837 961 0.07242
837 996 0.04234
836 839 0.06119
836 984 0.05859
836 986 0.02370
835 862 0.05968
835 967 0.06296
833 888 0.02748
833 890 0.04744
833 907 0.07495
833 959 0.01202
832 842 0.02813
832 975 0.07243
831 851 0.06697
831 910 0.03604
831 976 0.02274
830 874 0.02388
830 886 0.05615
830 894 0.06883
830 905 0.04209
829 837 0.06878
829 841 0.02245
829 889 0.07328
829 930 0.05822
829 996 0.03179
828 955 0.03996
827 854 0.03016
827 889 0.07252
825 905 0.04301
825 939 0.05150
825 953 0.06519
824 850 0.05174
824 852 0.03845
824 901 0.01483
824 919 0.04214
823 843 0.06075
823 863 0.06523
823 876 0.04935
823 900 0.02344
822 879 0.05936
822 941 0.01505
821 874 0.05360
821 886 0.03636
821 894 0.01194
821 965 0.04684
820 912 0.06077
820 931 0.02799
820 958 0.06404
819 881 0.06534
819 904 0.03021
819 923 0.03646
819 946 0.03616
819 948 0.05648
819 987 0.04227
819 990 0.02339
818 859 0.06296
818 871 0.04344
818 962 0.03215
817 912 0.03353
817 931 0.05626
817 935 0.07028
817 943 0.06469
817 945 0.04295
817 997 0.06258
816 846 0.04014
816 918 0.04480
816 927 0.06032
816 946 0.07065
816 952 0.05008
816 994 0.05911
815 902 0.06735
815 980 0.05106
814 822 0.04567
814 941 0.06063
814 963 0.06589
813 868 0.06315
812 831 0.01970
812 851 0.07464
812 910 0.04995
812 976 0.03595
811 935 0.05002
811 943 0.06268
810 824 0.05537
810 852 0.03980
810 863 0.04856
810 901 0.04888
809 825 0.06315
809 830 0.06072
809 864 0.04423
809 905 0.02941
809 939 0.06801
808 824 0.06560
808 906 0.04336
808 919 0.02856
808 929 0.04272
808 949 0.05998
808 982 0.03253
807 972 0.02055
806 817 0.06756
806 878 0.07083
806 912 0.04886
806 922 0.04892
806 981 0.07270
806 997 0.01676
805 814 0.04254
804 872 0.04770
804 948 0.05106
804 987 0.06532
803 881 0.07010
803 969 0.04701
803 970 0.04201
802 983 0.04903
801 860 0.03185
801 890 0.06470
801 907 0.07395
801 932 0.05301
801 934 0.03616
801 973 0.05818
800 827 0.04595
800 854 0.01693
800 924 0.05634
799 809 0.03319
799 825 0.04149
799 864 0.05685
799 905 0.03718
799 939 0.03570
798 818 0.05168
798 859 0.03802
798 871 0.00824
797 802 0.04760
797 830 0.05217
797 874 0.06422
796 834 0.05698
795 916 0.06779
795 950 0.05019
795 977 0.05807
795 992 0.07146
794 848 0.07418
794 937 0.06707
793 832 0.05167
793 866 0.04735
793 975 0.03493
793 978 0.04567
792 848 0.04852
792 893 0.02626
791 867 0.04690
790 845 0.05458
790 861 0.03531
790 915 0.06420
790 974 0.04779
789 836 0.06684
789 839 0.01003
789 899 0.06032
789 973 0.04230
789 984 0.02287
789 986 0.04317
789 995 0.06611
788 803 0.02928
788 872 0.06988
788 969 0.07373
788 970 0.03216
787 870 0.04439
786 887 0.01898
786 892 0.03585
786 898 0.05483
786 917 0.07486
786 964 0.04885
786 977 0.07171
785 820 0.02927
785 931 0.05230
785 958 0.05687
784 808 0.07481
784 850 0.05672
784 906 0.04794
784 919 0.06186
784 949 0.02072
784 954 0.07207
783 807 0.01378
783 972 0.03186
782 794 0.05188
782 848 0.04780
782 951 0.03947
781 802 0.04819
781 908 0.06675
781 914 0.04711
781 983 0.02798
781 988 0.04285
780 788 0.03882
780 803 0.06547
780 872 0.04756
780 970 0.03679
780 980 0.07081
779 942 0.04688
779 979 0.05227
779 993 0.00532
778 799 0.01555
778 809 0.04523
778 825 0.04947
778 864 0.05680
778 905 0.05273
778 939 0.02329
777 786 0.05991
777 795 0.05610
777 875 0.07386
777 892 0.05966
777 964 0.07137
777 977 0.06209
776 784 0.05087
776 808 0.06678
776 824 0.04307
776 850 0.01698
776 852 0.04714
776 901 0.03776
776 906 0.07213
776 919 0.03915
776 949 0.05790
776 954 0.04885
775 789 0.02137
775 836 0.07444
775 839 0.01685
775 899 0.04800
775 966 0.06666
775 973 0.06057
775 984 0.01631
775 986 0.05255
775 995 0.06132
773 790 0.05886
773 845 0.04764
773 915 0.03557
771 811 0.04471
771 932 0.06779
770 936 0.06957
769 818 0.05751
769 871 0.07412
769 880 0.03854
769 962 0.05518
768 781 0.02741
768 802 0.06500
768 908 0.04048
768 914 0.05048
768 983 0.05515
768 988 0.03282
767 860 0.05435
767 907 0.07467
767 922 0.06792
767 932 0.06413
767 934 0.05155
767 981 0.07011
766 833 0.04075
766 888 0.02784
766 890 0.06306
766 959 0.04502
765 815 0.03521
765 980 0.01596
764 783 0.03675
764 807 0.02523
764 972 0.00489
763 793 0.05711
763 800 0.06138
763 844 0.04900
763 866 0.02545
763 924 0.03525
763 975 0.02232
763 978 0.02967
762 778 0.03898
762 799 0.03893
762 809 0.06941
762 825 0.02323
762 905 0.05806
762 939 0.03165
762 953 0.05797
761 762 0.07430
761 953 0.05106
760 761 0.06923
760 771 0.07119
760 898 0.05001
760 917 0.06783
759 765 0.05475
759 780 0.02415
759 788 0.05976
759 872 0.06032
759 970 0.06060
759 980 0.05329
757 766 0.05035
757 801 0.06480
757 890 0.07304
757 973 0.05225
756 805 0.06751
756 814 0.06723
756 904 0.07496
756 963 0.02984
755 855 0.05581
755 926 0.02900
755 994 0.07282
754 847 0.06709
753 833 0.07446
753 890 0.03915
753 907 0.00895
753 981 0.05199
752 771 0.05892
752 801 0.06002
752 860 0.04651
752 932 0.01379
752 934 0.04271
751 787 0.05605
751 870 0.03825
751 906 0.05790
751 929 0.06124
751 949 0.06871
750 782 0.05254
750 792 0.04353
750 794 0.05747
750 848 0.02578
750 893 0.06638
749 760 0.01570
749 761 0.06766
749 898 0.03522
749 917 0.06279
748 764 0.06651
748 783 0.02999
748 807 0.04190
748 972 0.06165
747 798 0.06255
747 813 0.04401
747 826 0.05246
747 859 0.07304
747 871 0.07079
746 763 0.06379
746 793 0.01093
746 832 0.05809
746 866 0.04993
746 975 0.04237
746 978 0.04739
745 815 0.07397
745 829 0.06607
745 841 0.07030
745 902 0.02088
745 928 0.07310
744 795 0.05478
744 916 0.05976
744 992 0.04489
743 750 0.04093
743 792 0.03379
743 848 0.06121
743 893 0.03918
742 800 0.06813
742 854 0.06823
742 889 0.05849
742 930 0.03330
741 868 0.02569
741 876 0.06676
741 940 0.00727
740 749 0.02577
740 760 0.03081
740 761 0.04198
740 898 0.05046
739 779 0.04111
739 942 0.02589
739 979 0.02179
739 993 0.03733
738 741 0.04227
738 826 0.04945
738 868 0.05102
738 940 0.04717
737 739 0.07018
737 951 0.07337
736 757 0.00898
736 766 0.04162
736 801 0.06715
736 833 0.07322
736 888 0.06908
736 890 0.06708
736 973 0.06075
735 950 0.06595
734 791 0.04852
734 918 0.04472
734 927 0.05291
734 994 0.06209
733 835 0.05766
733 862 0.01518
733 967 0.01410
732 770 0.04671
731 747 0.06793
731 769 0.06495
731 798 0.03302
731 813 0.06109
731 818 0.06503
731 859 0.07095
731 871 0.03481
730 885 0.01236
730 936 0.06293
729 773 0.05466
729 933 0.06798
729 944 0.07150
729 974 0.06714
729 998 0.06102
728 821 0.06288
728 825 0.06398
728 856 0.07151
728 894 0.07196
728 953 0.06236
727 761 0.06620
727 762 0.04297
727 778 0.03786
727 799 0.05152
727 825 0.06501
727 939 0.01620
726 731 0.03648
726 769 0.03213
726 798 0.04783
726 818 0.04085
726 871 0.04253
726 880 0.06020
726 962 0.05716
725 855 0.07438
725 884 0.06398
724 749 0.05769
724 760 0.07052
724 786 0.03859
724 887 0.02003
724 892 0.05663
724 898 0.02573
724 917 0.03997
724 964 0.07077
723 819 0.01077
723 846 0.07453
723 881 0.06229
723 904 0.04087
723 923 0.02923
723 946 0.02968
723 948 0.06576
723 987 0.05116
723 990 0.01353
722 739 0.07203
722 764 0.04521
722 783 0.06669
722 807 0.05337
722 849 0.05567
722 942 0.05260
722 972 0.04702
722 979 0.05083
721 787 0.04371
721 841 0.06255
721 930 0.06661
719 797 0.06246
719 802 0.06070
719 896 0.05240
719 983 0.05260
718 752 0.05185
718 767 0.04135
718 771 0.06540
718 811 0.04882
718 860 0.05998
718 932 0.04492
718 934 0.05480
718 935 0.07471
717 758 0.02019
717 779 0.07116
716 811 0.07025
716 917 0.05586
716 935 0.04582
716 943 0.04624
716 945 0.06861
715 938 0.02871
715 961 0.05478
715 991 0.02364
714 720 0.04604
714 805 0.06019
713 725 0.04145
713 971 0.04730
712 744 0.06072
712 865 0.04509
712 916 0.01883
712 950 0.06934
711 733 0.06334
711 827 0.07116
711 835 0.00757
711 862 0.06640
